CARGO;FICHA;PROCESO(S);SUBPROCESOS
PROFESIONAL ESPECIALIZADO 17;AT-OP-3017;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
PROFESIONAL ESPECIALIZADO 16;AT-OP-3018;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
PROFESIONAL ESPECIALIZADO 15;AT-OP-3019;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
PROFESIONAL UNIVERSITARIO 11;AT-OP-3020;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
PROFESIONAL UNIVERSITARIO 05;AT-OP-3021;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
PROFESIONAL UNIVERSITARIO 02;AT-OP-3022;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
SECRETARIO EJECUTIVO 20;AT-OP-1032;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
AUXILIAR ADMINISTRATIVO 15;AT-OP-1033;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
AUXILIAR ADMINISTRATIVO 13;AT-OP-1034;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR IV;AT-OP-3001;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR III;AT-OP-3003;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR II;AT-OP-3005;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR I;AT-OP-3007;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR IV;AT-OP-3009;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR III;AT-OP-3011;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR II;AT-OP-3013;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR I;AT-OP-3015;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
TECNICO ADMINISTRATIVO 16;AT-OP-2023;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA V;AT-OP-2024;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA IV;AT-OP-2026;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA III;AT-OP-2028;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA II;AT-OP-2030;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA I;AT-OP-2031;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR II;AT-OP-3024;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR I;AT-OP-3025;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR I;AT-OP-3026;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR I;AT-OP-3027;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR I;AT-OP-3028;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR IV;AT-OP-3029;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR IV;AT-OP-3030;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
